enro_animal_id,redcap_data_access_group,enro_sex,enro_model,txas_reperfusion,txas_reperfusion_actual,corner_bl_conduct,corner_bl_conduct_rsn,corner_d7_conduct,corner_d7_conduct_rsn,behav_d30_conduct,behav_d30_conduct_rsn,corner_d30_conduct,corner_d30_conduct_rsn,crt_bl_right_s9,crt_bl_left_s9,crt_d7_right_s9,crt_d7_left_s9,crt_d30_right_s9,crt_d30_left_s9,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,neuro_d30_conduct,neuro_d30_conduct_rsn,neuro_d30_spont,neuro_d30_circling,neuro_d30_symmetry,neuro_d30_outstretching,neuro_d30_trunk,neuro_d30_vibrissae,neuro_d30_face,neuro_d30_beam,neuro_d30_climb,srg_clot_length,rand_clot_length
MJ5834,iw,1,5,1,1,1,,0,1,0,1,,,3,7,,,,,,,,,,,,,,,,,,,4,4
MJ5835,iw,1,5,1,1,1,,1,,1,,1,,5,5,2,8,3,7,0,0,1,1,,0,1,0,1,1,2,0,3,0,4,4
MJ5836,iw,0,5,2,2,1,,1,,1,,1,,2,8,8,2,2,8,1,2,1,1,,0,0,1,1,3,2,1,3,2,4,4
MJ5837,iw,1,5,2,2,1,,1,,1,,1,,6,4,10,0,2,8,2,2,1,1,,0,0,1,1,1,0,0,2,0,4,4
MJ5838,iw,1,5,1,1,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,,3
MJ5839,iw,0,5,2,2,1,,1,,1,,1,,3,7,6,4,4,6,2,2,1,1,,0,1,0,0,0,0,0,3,0,3,3
MJ5840,iw,0,5,1,1,1,,1,,1,,1,,4,6,5,5,2,8,1,1,0,1,,0,0,0,0,0,0,0,1,0,3,3
MJ5841,iw,1,5,1,1,1,,1,,1,,1,,4,6,4,6,1,9,0,0,1,1,,0,0,1,1,1,2,0,3,0,3,3
MN4910,dk,1,5,2,2,1,,1,,1,,1,,3,7,7,3,4,1,2,2,2,1,,0,1,1,0,1,1,1,1,0,3,3
MN4911,dk,0,5,2,2,1,,1,,1,,1,,5,5,7,1,6,2,2,1,1,1,,0,1,0,0,0,1,1,1,0,3,3
MN4914,dk,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN4915,dk,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN4924,dk,0,5,1,1,1,,1,,1,,1,,6,4,3,3,2,0,2,2,2,1,,0,1,1,1,1,1,1,0,0,3,3
MN4925,dk,1,5,2,2,1,,1,,1,,1,,5,5,8,0,5,0,2,2,1,1,,0,0,0,1,1,0,0,0,0,3,3
MN4940,ag,0,5,2,2,1,,1,,1,,1,,4,5,6,4,6,4,2,1,2,1,,0,1,1,1,2,1,1,1,0,4,4
MN4941,ag,1,5,2,2,1,,0,1,0,1,,,6,3,,,,,,,,,,,,,,,,,,,4,4
MN4943,ag,1,5,2,2,1,,0,1,0,1,,,7,3,,,,,2,1,,,,,,,,,,,,,4,4
MN4944,ag,0,5,2,2,1,,1,,1,,1,,6,4,1,9,3,7,2,2,2,1,,0,1,3,3,2,3,3,1,0,3,3
MN4945,ag,1,5,2,2,1,,0,1,0,1,,,2,7,,,,,,,,,,,,,,,,,,,3,3
MN4946,ag,0,5,1,1,1,,1,,1,,1,,4,6,8,2,3,7,1,1,0,1,,0,0,0,1,2,2,1,2,0,3,3
MN5635,mg,1,5,1,1,1,,1,,1,,1,,7,3,1,9,0,10,2,2,1,1,,1,0,0,0,0,1,1,3,1,3,3
MN5636,mg,0,5,1,1,1,,1,,1,,1,,9,1,2,0,4,6,2,2,1,1,,0,0,1,0,2,1,0,2,0,3,3
MN5643,mg,1,5,1,1,1,,1,,1,,1,,4,6,7,3,6,4,1,1,1,1,,0,0,1,0,1,1,0,3,1,3,3
MN5654,yl,0,5,2,2,1,,1,,1,,1,,5,5,6,4,2,8,2,2,0,1,,0,0,0,0,0,0,0,3,0,3,3
MN5665,yl,0,5,1,1,0,4,1,,1,,1,,,,7,3,6,4,1,1,0,1,,0,0,0,1,0,1,0,3,0,3,3
MN5702,ag,0,5,1,1,1,,1,,1,,1,,1,9,0,10,1,5,2,2,2,1,,0,1,1,1,1,1,1,3,0,4,4
MN5730,dk,0,5,1,1,1,,1,,1,,1,,8,2,6,0,9,1,2,2,2,1,,1,1,1,1,0,0,0,1,0,4,4
MN5731,dk,1,5,1,1,1,,1,,1,,1,,7,3,3,3,5,5,2,2,1,1,,0,1,0,0,1,0,0,0,0,4,4
MN5732,dk,0,5,1,1,1,,0,1,0,1,,,8,2,,,,,2,,,,,,,,,,,,,,4,4
MN5733,dk,1,5,2,2,1,,1,,1,,1,,5,5,10,0,10,0,2,2,2,1,,0,1,1,1,1,1,1,2,0,4,4
MN5738,dk,0,5,1,1,1,,1,,1,,1,,8,2,4,4,5,3,2,2,0,1,,0,0,0,0,0,1,1,0,0,4,4
MN5739,dk,1,5,2,2,1,,1,,1,,1,,4,6,2,8,7,3,2,2,1,1,,0,1,0,1,0,1,1,1,0,4,4
QQ3348,yl,1,5,1,1,1,,0,1,0,1,,,2,7,,,,,0,,,,,,,,,,,,,,4,4
QQ3351,yl,1,5,1,1,1,,0,1,0,1,,,7,3,,,,,,,,,,,,,,,,,,,3,3
RQ9431,sd,0,5,1,1,1,,1,,1,,1,,4,6,6,4,8,2,1,1,1,1,,2,0,0,0,0,0,0,0,0,4,4
RQ9432,sd,1,5,2,2,1,,1,,0,3,,,4,6,10,0,,,3,2,,,,,,,,,,,,,3,3
RQ9447,sd,0,5,1,1,1,,1,,1,,1,,7,3,9,1,7,3,3,2,0,1,,0,0,0,0,0,0,0,0,0,3,3
RQ9448,sd,0,5,2,2,1,,1,,1,,1,,5,5,5,5,9,1,1,1,2,1,,1,0,1,0,0,0,0,0,0,3,3
RQ9450,sd,0,5,2,2,1,,1,,1,,1,,9,1,8,2,2,8,3,3,2,1,,2,0,1,0,0,0,0,0,0,4,4
RQ9456,sd,0,5,1,1,1,,1,,0,1,,,4,6,9,1,,,3,2,,,,,,,,,,,,,4,4
RQ9457,sd,1,5,2,2,1,,0,1,0,1,,,0,10,,,,,,,,,,,,,,,,,,,4,4
RQ9462,sd,1,5,2,2,1,,1,,1,,1,,6,4,10,0,10,0,1,1,2,1,,0,1,1,1,0,0,0,3,0,4,4
RQ9463,sd,1,5,1,1,1,,0,1,0,1,,,6,4,,,,,2,,,,,,,,,,,,,,4,4
RR0052,iw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR0053,iw,1,5,1,1,1,,1,,1,,1,,3,7,10,0,2,0,2,3,2,1,,1,1,1,1,1,2,2,3,0,4,4
RR0054,iw,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,,,,,,,,,,,,,,,4,4
RR0055,iw,1,5,2,2,1,,1,,1,,1,,2,8,4,5,3,7,1,2,0,1,,1,0,0,1,1,0,0,2,0,4,4
RR0056,iw,0,5,1,1,1,,1,,1,,1,,6,4,7,3,9,1,1,1,2,1,,0,1,1,1,1,2,1,2,0,4,4
RR0057,iw,1,5,2,2,1,,1,,1,,1,,3,7,7,3,6,2,0,0,0,1,,0,0,0,0,0,0,0,3,0,4,4
RR0058,iw,0,5,1,1,1,,1,,1,,1,,4,6,2,8,3,7,0,0,0,1,,0,0,0,1,0,3,3,1,0,4,4
RR0059,iw,1,5,1,1,1,,0,1,0,1,,,2,8,,,,,2,,,,,,,,,,,,,,3,3
RR0060,iw,1,5,1,1,1,,1,,1,,1,,5,5,3,7,3,7,2,0,0,1,,0,0,0,1,0,0,1,3,0,3,3
RR0061,iw,0,5,1,1,1,,1,,1,,1,,2,8,3,7,3,7,0,0,1,1,,0,0,1,1,0,0,2,0,0,3,3
RR0062,iw,0,5,2,2,1,,1,,1,,1,,2,8,4,6,2,8,1,0,1,1,,0,0,1,1,0,0,0,0,0,3,3
RV6518,dk,0,5,2,2,1,,1,,1,,1,,3,7,7,0,9,1,2,2,2,1,,0,1,0,1,1,1,1,0,0,4,4
RV6519,dk,1,5,1,1,1,,1,,1,,1,,7,3,5,5,4,6,0,1,0,1,,0,0,0,0,0,0,0,0,0,4,4
RV6522,dk,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV6523,dk,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV6542,ag,1,5,1,1,1,,1,,1,,1,,1,9,9,0,4,2,2,2,2,1,,0,1,1,1,2,2,2,3,0,4,4
RV6543,ag,1,5,1,1,1,,0,1,0,1,,,2,8,,,,,2,2,,,,,,,,,,,,,4,4
RV6544,ag,0,5,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV9457,yl,1,5,1,1,1,,1,,1,,1,,4,6,8,2,2,1,1,1,0,1,,0,0,0,0,0,0,0,3,0,3,3
RV9468,yl,1,5,1,1,1,,0,1,0,1,,,7,3,,,,,,,,,,,,,,,,,,,3,3
RV9534,mg,1,5,1,1,1,,1,,1,,1,,3,7,6,4,4,6,2,1,0,1,,1,0,1,0,0,1,0,3,0,4,4
RV9535,mg,0,5,1,1,1,,1,,1,,1,,4,4,6,4,8,0,1,1,0,1,,1,0,0,0,1,0,0,2,2,3,3
RV9545,mg,1,5,2,2,1,,1,,1,,1,,5,4,2,0,4,2,2,2,1,1,,0,0,1,1,1,0,0,3,1,3,3
RV9573,yl,0,5,2,2,1,,1,,1,,1,,2,8,6,2,4,6,2,1,1,1,,0,0,0,0,0,1,0,3,0,4,4
RV9579,yl,1,5,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV9580,yl,1,5,2,2,1,,1,,1,,1,,8,2,4,4,2,0,1,0,0,1,,0,0,0,0,0,1,1,3,0,4,4
RV9585,yl,1,5,2,1,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,3.6,4
RV9586,yl,1,5,1,1,1,,0,1,0,1,,,5,5,,,,,2,,,,,,,,,,,,,,4,4
RV9587,yl,0,5,2,2,1,,1,,1,,1,,5,5,6,4,3,7,2,1,0,1,,0,0,0,0,0,0,0,1,0,4,4
RV9590,dk,1,5,2,2,1,,1,,1,,1,,1,9,4,0,5,0,1,1,2,1,,0,1,0,1,1,1,1,0,0,3,3
RV9591,dk,0,5,1,1,1,,1,,1,,1,,6,4,5,0,4,0,2,2,2,1,,0,1,1,0,2,1,1,1,0,3,3
RV9598,dk,0,5,2,2,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,3,3
RV9599,dk,1,5,1,1,1,,1,,1,,1,,6,4,6,4,7,3,2,2,1,1,,0,1,0,1,0,0,0,0,0,3,3
RV9600,dk,1,5,1,1,1,,1,,1,,1,,8,2,1,6,6,4,2,2,1,1,,0,1,0,1,0,0,0,0,0,3,3
RV9601,dk,0,5,2,2,1,,1,,1,,1,,3,7,6,4,8,2,1,1,1,1,,0,1,0,0,0,0,0,0,0,3,3
RV9610,ag,0,5,1,1,1,,0,1,0,1,,,4,6,,,,,3,3,,,,,,,,,,,,,4,4
RV9612,ag,1,5,2,2,1,,0,1,0,1,,,3,7,,,,,2,,,,,,,,,,,,,,4,4
RV9613,ag,0,5,2,2,1,,0,1,0,1,,,8,2,,,,,2,2,,,,,,,,,,,,,4,4
RV9614,ag,0,5,2,2,1,,1,,1,,1,,6,4,9,1,5,5,2,1,0,1,,0,0,1,0,2,0,0,0,0,4,4
RV9615,ag,0,5,1,1,1,,1,,1,,1,,3,7,4,3,7,3,2,2,2,1,,0,1,0,0,2,0,2,0,0,4,4
RV9616,ag,1,5,2,2,1,,0,1,0,1,,,4,1,,,,,,,,,,,,,,,,,,,4,4
RV9617,ag,0,5,2,2,1,,1,,1,,1,,6,4,6,4,4,6,2,2,0,1,,0,0,0,0,3,0,2,2,0,3,3
RV9618,ag,0,5,1,1,1,,1,,1,,1,,10,0,2,8,4,6,2,2,2,1,,0,1,3,3,2,1,1,1,0,3,3
RV9619,ag,1,5,2,2,1,,1,,1,,1,,3,7,7,3,7,3,2,2,0,1,,0,0,0,0,1,1,0,3,0,3,3
RV9621,ag,0,5,1,1,1,,0,1,0,1,,,10,0,,,,,3,,,,,,,,,,,,,,3,3
VV5204,yl,1,5,1,1,1,,1,,1,,1,,4,6,5,5,5,4,0,1,2,1,,0,0,0,0,1,0,1,1,0,4,4
VV5205,yl,0,5,1,1,1,,1,,1,,1,,4,6,4,6,4,6,0,0,0,1,,0,0,0,0,1,0,0,3,0,4,4
VV5206,yl,1,5,2,2,1,,0,1,0,1,,,3,7,,,,,1,,,,,,,,,,,,,,4,4
VV5213,yl,1,5,2,2,1,,1,,1,,1,,4,6,9,1,4,6,0,2,0,1,,0,0,0,0,1,1,0,3,0,4,4
VV5214,yl,1,5,2,2,1,,1,,1,,1,,5,5,4,6,4,2,0,0,0,1,,0,0,0,0,1,1,1,3,0,4,4
VV5249,yl,0,5,2,2,1,,1,,1,,1,,8,2,7,3,5,5,0,0,0,1,,0,0,0,0,1,0,0,2,0,3,3
VV5258,yl,1,5,2,2,1,,1,,1,,1,,7,3,7,2,1,0,1,2,0,1,,0,0,0,0,1,0,0,2,0,3,3
WI2549,mg,1,5,2,2,1,,1,,1,,1,,1,9,7,3,6,4,2,2,0,1,,0,0,2,1,1,0,0,0,0,4,4
WI2550,mg,0,5,1,1,1,,1,,1,,1,,9,1,9,1,3,7,2,2,1,1,,0,0,2,1,1,1,1,3,1,4,4
WI2555,mg,1,5,1,1,1,,0,1,0,1,,,6,4,,,,,,,,,,,,,,,,,,,4,4
WS3717,sd,1,5,2,2,1,,1,,1,,1,,2,8,7,3,9,1,0,0,2,1,,2,0,0,0,0,1,0,3,1,3,3
WS3718,sd,0,5,1,1,1,,1,,1,,1,,5,5,8,2,5,5,1,1,1,1,,2,0,0,0,0,0,0,3,0,3,3
WS3719,sd,1,5,2,2,1,,0,1,0,1,,,6,4,,,,,2,3,,,,,,,,,,,,,4,4
WS3721,sd,1,5,1,1,1,,1,,1,,1,,2,8,10,0,8,2,3,2,1,1,,2,0,1,1,0,0,0,3,0,3,3
WS3722,sd,0,5,2,2,1,,0,1,0,1,,,8,2,,,,,2,,,,,,,,,,,,,,3,3
WS3756,sd,0,5,2,2,1,,0,1,0,1,,,9,1,,,,,,,,,,,,,,,,,,,4,4
WS3762,sd,1,5,2,2,1,,1,,1,,1,,6,4,8,2,9,1,2,3,2,1,,1,0,0,0,1,0,0,0,0,4,4
WS3763,sd,1,5,1,1,1,,1,,1,,1,,3,7,7,3,5,5,2,1,0,1,,0,0,0,0,0,0,0,1,0,4,4
WS4351,iw,1,5,1,1,1,,1,,1,,1,,5,5,10,0,9,1,2,1,1,1,,1,0,1,1,0,2,1,3,0,4,4
WS4352,iw,1,5,2,2,1,,1,,1,,1,,4,6,7,3,3,7,1,0,0,1,,1,0,0,0,1,2,1,3,0,4,4
WS4353,iw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS4354,iw,0,5,1,1,1,,1,,1,,1,,8,2,10,0,6,4,2,2,2,1,,0,1,1,1,1,2,2,3,0,4,4
WS4355,iw,0,5,1,1,1,,1,,1,,1,,3,3,4,6,7,3,1,2,0,1,,0,0,0,0,3,0,0,3,0,4,4
WS4356,iw,1,5,2,2,1,,1,,1,,1,,4,6,10,0,6,4,2,2,1,1,,2,0,1,1,1,2,1,3,1,4,4
WS4357,iw,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS4358,iw,0,5,1,1,1,,1,,1,,1,,4,6,7,3,6,4,0,0,0,1,,0,0,0,1,0,1,2,0,0,4,4
WS4359,iw,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS4360,iw,1,5,2,2,1,,1,,1,,1,,4,6,8,2,5,5,1,2,0,1,,2,0,1,1,0,2,2,3,0,3,3
WS4361,iw,1,5,2,2,1,,1,,1,,1,,5,5,8,2,6,4,2,2,2,1,,0,1,1,1,0,1,2,3,0,3,3
WS4362,iw,0,5,2,2,1,,1,,1,,1,,1,9,4,6,6,4,1,1,1,1,,0,0,1,1,0,1,2,0,0,3,3
WX5830,dk,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,2,,,,,,,,,,,,,,4,4
WX5831,dk,1,5,1,1,1,,0,1,0,1,,,5,5,,,,,,,,,,,,,,,,,,,4,4
WX5834,dk,0,5,1,1,1,,0,1,0,1,,,6,4,,,,,2,,,,,,,,,,,,,,4,4
WX5835,dk,1,5,2,2,1,,1,,1,,1,,1,9,10,0,9,1,2,2,1,1,,0,0,0,1,0,0,0,0,0,4,4
WX5838,dk,0,5,2,2,1,,1,,1,,1,,4,6,5,5,6,4,0,0,0,1,,0,0,0,0,0,0,0,0,0,4,4
WX5839,dk,1,5,1,1,1,,1,,1,,1,,2,3,4,1,3,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,4,4
WX5852,ag,1,5,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WX5853,ag,1,5,2,2,1,,1,,1,,1,,6,4,7,0,4,1,2,2,2,1,,0,1,1,1,2,2,2,3,0,4,4
WX5854,ag,0,5,2,2,1,,1,,1,,1,,5,5,6,4,3,2,2,2,2,1,,1,1,1,1,1,2,2,3,0,4,4
WX5855,ag,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,,,,,,,,,,,,,,,4,4
WX6555,mg,1,5,2,2,1,,1,,0,1,,,5,5,3,6,,,2,2,,,,,,,,,,,,,3,3
WX6556,mg,0,5,2,2,1,,1,,1,,1,,1,9,2,8,5,5,2,2,1,1,,0,0,2,1,1,0,0,3,0,3,3
WX6563,mg,1,5,1,1,1,,1,,1,,1,,6,4,3,7,4,6,1,1,0,1,,0,0,0,0,0,0,0,3,0,3,3
WX6564,mg,0,5,2,2,1,,1,,1,,1,,5,5,8,2,8,2,2,2,1,1,,1,0,0,0,0,0,0,3,1,3,3
WX6573,yl,1,5,2,2,1,,1,,1,,1,,7,3,3,1,5,0,1,1,0,1,,0,1,0,0,0,1,0,3,0,3,3
WX6577,yl,1,5,1,1,1,,0,1,0,1,,,5,5,,,,,,,,,,,,,,,,,,,3,3
WX6618,dk,0,5,2,2,1,,1,,1,,1,,1,9,2,8,1,9,1,0,1,1,,0,1,0,0,0,0,0,0,0,3,3
WX6619,dk,1,5,1,1,1,,1,,1,,1,,1,9,3,7,4,6,2,2,1,1,,0,1,1,0,1,0,0,0,0,3,3
WX6624,dk,0,5,1,1,1,,0,1,0,1,,,4,5,,,,,,,,,,,,,,,,,,,3,3
WX6625,dk,1,5,2,2,1,,1,,1,,1,,5,5,10,0,9,1,2,2,2,1,,0,1,1,1,1,1,1,1,0,3,3
WX6637,ag,0,5,1,1,1,,1,,1,,1,,3,7,7,0,4,6,2,2,2,1,,0,1,1,1,2,1,2,3,0,4,4
WX6638,ag,1,5,1,1,1,,0,1,0,1,,,7,3,,,,,1,1,,,,,,,,,,,,,3,3
WX6639,ag,0,5,1,1,1,,1,,1,,1,,2,8,5,5,5,5,2,1,0,1,,0,0,0,0,2,0,0,0,0,3,3
WX6640,ag,1,5,1,1,1,,1,,1,,1,,6,2,5,5,5,5,2,1,2,1,,0,1,0,1,1,1,1,3,0,4,4
WX6642,ag,0,5,2,2,1,,1,,1,,1,,5,3,3,0,10,0,2,2,2,1,,1,1,1,1,2,2,2,3,0,4,4
WX6644,ag,1,5,2,2,1,,1,,1,,1,,6,4,8,0,5,5,2,1,0,1,,2,0,1,0,2,1,1,3,0,4,4
WX6646,ag,0,5,1,1,1,,0,1,0,1,,,3,7,,,,,3,,,,,,,,,,,,,,4,4
WX6649,ag,0,5,2,2,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,3,3
