enro_animal_id,redcap_data_access_group,enro_model,enro_sex,rand_conduct,rand_conduct_rsn,rand_conduct_rsn_oth,rand_clot_length,txas_reperfusion,srg_conduct,srg_conduct_rsn,srg_conduct_rsn_oth,srg_comments___1,srg_comments___2,srg_comments___3,srg_comments___4,srg_comments___5,srg_comments___6,srg_comments___7,srg_comments___8,srg_comments___9,srg_exact_occ,srg_animal_age,srg_length_surgery,srg_awake_min,srg_concom_meds_lrs_nacl,srg_concom_meds_sq,eos_day_diff_srg_death,enro_weight,srg_weight,eos_weight,postop_d1_weight,postop_d2_weight,postop_d3_weight,postop_d4_weight,postop_d5_weight,postop_d6_weight,postop_d7_weight,postop_d8_weight,srg_nds_score,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,bank_tissue_type___1,bank_tissue_type___2,bank_tissue_type___3,bank_tissue_type___4,bank_tissue_type___6,bank_tissue_type___5,srg_clot_length,srg_embolic_draw_sex,srg_donor_eartag,behav_d30_conduct,rand_reperfusion_dose,srg_reperfsn_dose,srg_embolic_draw_dt,srg_actual_surg_dt,srg_reperfsn_vial,txas_reperfusion_actual,rand_reperfusion_vial,txas_pop_assg_comment
BB0325,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,126,2.3,172,109,1,1,45,214,233,292,233,220,227,232,,,,,1,0,0,0,1,0,0,0,0,0,4,0,GF5977,1,0.214,0.214,2025-06-17,2025-06-24,"TNK D",1,"TNK D",
BB0326,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,128,3.02,191,108,1,1,41,271,272,312,243,237,,,,,,,2,2,1,0,1,0,0,0,0,0,4,1,RV9579,1,0.27,0.27,2025-07-07,2025-07-23,"TNK G",2,"TNK G",
BB0327,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,128,2.89,172,103,1,1,0,250,255,255,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,GF5977,0,0.25,0.25,2025-06-17,2025-07-09,"TNK D",1,"TNK D",
BB0332,yl,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.56,179,103,1,1,0,378,424,424,,,,,,,,,1,,,,0,0,0,0,0,0,4,1,RV9579,0,0.38,0.38,2025-07-07,2025-07-16,"TNK H",1,"TNK H",
BB0333,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,134,2.56,176,110,1,1,41,254,260,336,269,265,,,,,,,0,1,0,0,1,0,0,0,0,0,4,1,RV9579,1,0.25,0.25,2025-07-07,2025-07-16,"TNK G",2,"TNK G",
BM4063,mg,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.43,153,105,1,1,31,267,349,386,333,334,322,,,338,,339,2,2,1,0,1,0,0,0,0,0,4,1,BM4046,1,0.31,0.31,2025-06-23,2025-07-01,"TNK C",1,"TNK C",
BM4064,mg,5,0,1,,,4,2,1,,,0,0,0,0,0,0,1,0,0,,2.2,,,1,1,0,190,214,214,,,,,,,,,,,,,0,0,0,0,0,0,4,0,RF6266,0,0.19,,2025-06-23,2025-06-24,,2,"TNK G","received the clot"
BM4079,mg,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,121,2.46,144,107,1,1,30,182,223,254,217,216,220,,224,,224,,2,1,1,0,1,0,0,0,0,0,4,0,RF6266,1,0.22,0.22,2025-06-23,2025-07-02,"TNK H",1,"TNK H",
BW4831,sd,5,0,1,,,4,2,1,,,0,0,0,0,1,0,0,0,0,,2.43,23,,0,1,0,208.2,228.3,228.3,,,,,,,,,,,,,0,0,0,0,0,0,,0,LJ5491,0,0.21,,2025-07-08,2025-07-22,,2,"TNK G","no clot administered"
BW4832,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.46,158,96,1,1,22,223.8,247,,222.8,232,,,243.1,237.2,258.2,250.6,1,1,1,,0,0,0,0,0,0,3,0,QQ3122,0,0.22,0.22,2025-08-04,2025-08-13,"TNK G",2,"TNK G","euthanized early by accident."
BW4847,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.43,156,106,1,1,35,190.9,209.6,246,197.3,194.6,201.6,,,211.8,208.6,206.9,1,1,1,1,1,1,1,1,0,1,3,0,QQ3122,1,0.19,0.19,2025-08-04,2025-08-05,"TNK G",2,"TNK G",
BW4848,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.43,159,95,1,1,37,205.4,228,274.5,210.2,200.3,192.3,,,236.7,243.6,241.0,2,3,2,2,1,1,1,1,0,1,3,0,"LJ 5491",1,0.21,0.2,2025-07-08,2025-07-29,"TNK G",2,"TNK G",
BW4849,sd,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,1,121,1.74,246,98,1,1,31,139.1,209.6,255.3,169.2,156.8,150.2,,,151.2,149.4,154.4,1,3,2,3,1,1,1,1,0,1,3,1,VV5900,1,0.14,0.14,2025-06-23,2025-07-22,"TNK G",2,"TNK G",
BW5451,iw,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.96,149,102,1,1,30,264,273,291,252,253,257,264,,268,,,2,2,2,1,1,0,0,0,0,0,4,0,HC8332,1,0.264,0.264,2025-06-23,2025-06-25,"TNK G",2,"TNK G",
BW5452,iw,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.89,152,113,1,1,31,297,337,463,320,322,321,325,337,340,345,,1,1,1,0,1,0,0,0,0,0,4,1,WS4353,1,0.3,0.3,2025-06-29,2025-06-30,"TNK G",2,"TNK G",
BW5453,iw,5,0,0,3,"aNIMAL WILL BE USED FOR cLOT PREPRATION ON 06.23.25",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,258,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"aNIMAL WILL BE USED FOR cLOT PREPRATION ON 06.23.25"
BW5454,iw,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.92,160,106,1,1,1,263,276,252,252,,,,,,,,1,2,,,0,0,0,0,0,0,4,0,BW5453,0,0.26,0.26,2025-07-14,2025-07-15,"TNK H",1,"TNK H",
BW5455,iw,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.23,150,106,1,1,31,291,349,477,314,319,304,320,339,342,355,,1,1,1,1,1,0,0,0,0,0,4,1,RR0052,1,0.29,0.29,2025-07-21,2025-07-22,"TNK H",1,"TNK H",
BW5456,iw,5,1,0,3,"Animal will be used for Clot prepration",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,254,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"Animal will be used for Clot prepration"
BW5457,iw,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,1,120,2.1,144,104,1,1,30,253,352,446,312,308,315,325,,,341,,2,2,0,0,1,0,0,0,0,0,4,1,BW5456,1,0.3,0.3,2025-07-28,2025-07-29,"TNK D",1,"TNK D",
BW5458,iw,5,1,0,3,"Animal will be used for Clot prepration",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,280,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"Animal will be used for Clot prepration"
BW5459,iw,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.06,147,104,1,1,30,250,258,307,240,250,255,259,268,265,,,2,1,2,0,1,0,0,0,0,0,3,0,WS4359,1,0.26,0.26,2025-08-04,2025-08-06,"TNK G",2,"TNK G",
BW5460,iw,5,0,1,,,3,2,1,,,1,0,0,0,1,0,0,0,0,,3.06,,,,,0,227,240,240,,,,,,,,,,,,,0,0,0,0,0,0,,,,0,0.23,,,2025-08-13,,2,"TNK G",
BW5461,iw,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,1,120,2.96,153,105,1,1,30,240,245,264,237,231,241,238,240,,,250,2,1,2,0,1,0,0,0,0,0,3,0,WS4359,1,0.24,0.24,2025-08-16,2025-08-17,"TNK C",1,"TNK C",
BW5692,sd,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.63,182,83,1,1,33,226,246,258,213.7,224,,,223.6,224.1,222.8,222,1,2,1,1,1,1,1,1,0,1,4,0,LJ5491,1,0.226,0.23,2025-06-20,2025-06-25,"TNK G",2,"TNK G",
BW5693,sd,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,121,2.6,177,85,1,1,34,391.5,410,519,362.3,231.3,371.2,,,391.6,396,404,2,1,1,0,1,1,1,1,0,1,4,1,VV5900,1,0.39,0.4,2025-06-23,2025-07-01,"TNK F",1,"TNK F",
BW5694,sd,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.6,171,86,1,1,0,234.2,252,,,,,,,,,,3,,,,0,0,0,0,0,0,4,0,"LJ 5491",0,0.23,0.23,2025-07-06,2025-07-08,"TNK G",2,"TNK G",
BW5704,sd,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,123,2.63,163,88,1,1,2,237.94,246.4,,229.7,224,,,,,,,1,3,3,,0,0,0,0,0,0,4,0,"LJ 5491",0,0.24,0.24,2025-07-08,2025-07-16,"TNK F",1,"TNK F",
BW5706,sd,5,1,1,,,4,1,1,,,0,0,0,0,1,0,0,0,1,,2.63,,,1,1,0,341,411,411,,,,,,,,,,,,,0,0,0,0,0,0,,1,VV5900,0,0.341,,2025-06-23,2025-06-25,,1,"TNK H","no clot injected"
CC9890,dk,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.96,30,112,1,1,1,248.0,281,236.7,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,RV6523,0,0.25,0.25,2025-07-21,2025-07-23,"TNK G",2,"TNK G",
CC9891,dk,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.14,40,,1,1,30,261.4,332,441.5,327,334.5,342.4,,348,,350.1,,2,2,2,1,1,0,0,0,1,0,4,1,RV6522,1,0.26,0.26,2025-07-21,2025-07-23,"TNK G",2,"TNK G",
CC9892,dk,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.96,31,,1,1,30,254.2,266,291.3,242.2,229.7,228.6,,251.3,,262,,2,2,2,2,1,0,0,0,1,0,4,0,RV6523,1,0.25,0.25,2025-07-14,2025-07-16,"TNK G",2,"TNK G",
CC9893,dk,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.1,36,,1,1,31,267.9,345,453.1,327.9,350.8,349.2,,357.9,,372,,2,2,2,1,1,0,0,0,1,0,4,1,RV6522,1,0.27,0.27,2025-07-14,2025-07-15,"TNK D",1,"TNK D",
CC9894,dk,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.96,143,105,1,1,2,263.8,289,253,253.8,,,,,,,,2,2,,,0,0,0,0,0,0,4,0,RV6523,0,0.26,0.26,2025-07-07,2025-07-09,"TNK F",1,"TNK F",
CC9895,dk,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.14,137,108,1,1,2,241.7,297,256.7,270,256.7,,,,,,,2,2,2,,0,0,0,0,0,0,4,1,RV6522,0,0.24,0.24,2025-07-07,2025-07-09,"TNK H",1,"TNK H",
CC9916,ag,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,122,2.92,145,114,1,1,2,358,389,391,390,391,,,,,,,2,3,3,,0,0,0,0,0,0,4,1,WX5852,0,0.358,0.358,2025-06-18,2025-06-24,"TNK H",1,"TNK H",
CC9917,ag,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,3.12,159,115,1,1,30,371,444,393,425,366,300,,,,305,309,2,2,2,2,1,0,0,0,0,0,4,1,WX5852,1,0.38,0.38,2025-06-18,2025-06-30,"TNK G",2,"TNK G",
CC9918,ag,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,3.19,149,113,1,1,29,211,252,257,252,235,200,,,185,182,,2,2,2,2,1,0,0,0,0,0,4,0,RV6544,1,0.22,0.22,2025-06-18,2025-07-01,"TNK F",1,"TNK F",
CC9919,ag,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.96,150,115,1,1,1,211,225,,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,RV6544,0,0.211,0.211,2025-06-18,2025-06-24,"TNK G",2,"TNK G",
CD0516,yl,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.96,171,95,1,1,34,251,259,283,257,250,,,,,,,0,0,0,0,1,0,0,0,0,0,3,0,LJ5664,1,0.25,0.25,2025-07-28,2025-08-13,"TNK D",1,"TNK D",
CD0517,yl,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.92,171,98,1,1,42,416,448,586,433,430,,,,,,,0,1,1,0,1,0,0,0,0,0,3,0,LJ5664,1,0.42,0.42,2025-07-28,2025-08-12,"TNK G",2,"TNK G",
CD0523,yl,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,121,2.69,173,106,1,1,35,205,216,227,212,211,208,,,,,,1,1,1,0,1,0,0,0,0,0,3,0,LJ5664,1,0.21,0.21,2025-07-28,2025-08-19,"TNK G",2,"TNK G",
CD0698,dk,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.92,35,,1,1,31,250.1,272,307,257,274.1,264.4,,272.3,,270.6,,2,2,2,2,1,0,0,0,1,0,3,0,MN4914,1,0.25,0.25,2025-08-04,2025-08-05,"TNK D",1,"TNK D",
CD0699,dk,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.1,34,,1,1,31,266.8,339,480,324.3,331.6,335.1,,350.7,,366.9,,2,2,2,2,1,0,0,0,1,0,3,1,MN4915,1,0.27,0.27,2025-08-04,2025-08-05,"TNK H",1,"TNK H",
CD0700,dk,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.33,45,110,1,1,12,307.4,339,185,293.1,276.4,265.8,,237.5,,225.6,,2,2,2,,0,0,0,0,0,0,3,1,MN4915,0,0.31,0.31,2025-08-18,2025-08-19,"TNK G",2,"TNK G",
CD0701,dk,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.19,49,109,1,1,30,288.2,321,334,305.1,308.6,308,,307.9,,312.5,,2,2,1,0,1,0,0,0,1,0,3,0,MN4914,1,0.29,0.29,2025-08-18,2025-08-20,"TNK G",2,"TNK G",
CD0710,ag,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,3.12,138,111,1,1,32,472,495,588,491,487,496,,,510,512,,2,2,2,0,1,0,0,0,0,0,4,1,WX5852,1,0.47,0.47,2025-07-17,2025-07-21,"TNK D",1,"TNK D",
CD0711,ag,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.89,145,114,1,1,30,372,409,500,400,386,383,382,,,387,,2,2,2,2,1,0,0,0,0,0,3,1,WX5852,1,0.37,0.37,2025-07-17,2025-08-04,"TNK D",1,"TNK D",
CD0712,ag,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.09,155,114,1,1,1,412,472,,,,,,,,,,2,,,,0,0,0,0,0,0,3,1,WX5852,0,0.42,0.42,2025-07-17,2025-08-10,"TNK G",2,"TNK G",
CD0713,ag,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.25,154,113,1,1,30,210,221,279,212,202,218,222,,,223,,2,2,2,2,1,0,0,0,0,0,3,0,RV6544,1,0.24,0.24,2025-07-17,2025-08-18,"TNK G",2,"TNK G",
CD0729,ag,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.38,150,114,1,1,30,500,530,612,516,510,514,,,515,520,,1,1,1,0,1,0,0,0,0,0,3,1,WX5852,1,0.5,0.5,2025-07-17,2025-07-29,"TNK G",2,"TNK G",
GF5961,yl,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.33,163,102,1,1,44,244,286,464,265,278,286,,,,,,1,0,0,1,1,0,0,0,0,0,4,0,GF5977,1,0.244,0.244,2025-06-17,2025-06-25,"TNK G",2,"TNK G",
GF5962,yl,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,131,2.89,173,112,1,1,0,384,421,421,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,GF5977,0,0.38,0.38,2025-06-17,2025-07-09,"TNK D",1,"TNK D",
GF5963,yl,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,124,2.76,169,107,1,1,35,372,450,574,437,430,,,,,,,2,1,1,0,1,0,0,0,0,0,4,1,RV9579,1,0.37,0.37,2025-07-07,2025-07-22,"TNK H",1,"TNK H",
GF5964,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,127,3.02,178,103,1,1,41,299,299,329,292,295,,,,,,,1,1,0,0,1,0,0,0,0,0,4,1,Rv9579,1,0.3,0.33,2025-07-07,2025-07-23,"TNK G",2,"TNK C or D","Received wrong reperfusion vial. Saline was administered instead of TNKase as assigned."
GF5974,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,121,3.02,168,93,1,1,34,260,259,278,359,355,,,,,,,0,0,0,0,1,0,0,0,0,0,4,1,RV9579,1,0.26,0.26,2025-07-28,2025-07-30,"TNK G",2,"TNK G",
GF5975,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,119,2.53,165,95,1,1,42,269,275,339,265,267,260,,,,,,0,1,1,1,1,0,0,0,0,0,4,0,LJ5664,1,0.27,0.27,2025-07-08,2025-07-15,"TNK D",1,"TNK D",
GF5976,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,126,2.86,163,110,1,1,2,236,241,,211,,,,,,,,2,0,,,0,0,0,0,0,0,4,0,GF5977,0,0.24,0.24,2025-06-17,2025-07-08,"TNK G",2,"TNK G",
GF5977,yl,5,0,0,3,"This is a donor animal",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,234,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"This is a donor animal"
GF6014,yl,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,124,2.73,181,108,1,1,41,353,396,531,382,374,,,,,,,2,1,2,2,1,0,0,0,0,0,3,0,LJ5664,1,0.35,0.35,2025-07-28,2025-08-06,"TNK D",1,"TNK D",
GF6015,yl,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,125,2.69,167,111,1,1,0,230,239,239,,,,,,,,,1,,,,0,0,0,0,0,0,3,0,LJ5664,0,0.23,0.23,2025-07-28,2025-08-05,"TNK H",1,"TNK H",
GT2260,mg,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.46,143,106,1,1,30,176,200,225,207,206,207,,209,,212,,1,1,0,0,1,0,0,0,0,0,4,0,RF6266,1,0.19,0.19,2025-06-23,2025-07-02,"TNK G",2,"TNK G",
GT2266,mg,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,1,0,131,2.23,152,112,1,1,0,196,216,216,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,RF6266,0,0.196,0.2,2025-06-23,2025-06-25,"TNK F",1,"TNK F",
GT2279,mg,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,119,2.2,146,100,1,1,38,261,301,401,283,286,290,,309,,318,,2,1,1,1,1,0,0,0,0,0,4,1,BM4046,1,0.261,0.26,2025-06-23,2025-06-24,"TNK G",2,"TNK G",
HC7836,sd,5,0,0,3,"enrolled by accident after the randomization table was complete",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,238.7,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"enrolled by accident after the randomization table was complete"
